"week","word","pos","definition_a","translation_a","definition_b","translation_b","definition_c","translation_c"
"21","opinion","n.","A view or judgment formed about something","意見; 看法","Professional advice from an expert","專業建議","",""
"22","alone","adj./adv.","Having no one else present","單獨的; 獨自","Feeling lonely or isolated","孤單的; 無助的","",""
"22","enjoy","v.","To take pleasure in something","享受; 喜愛","To possess and benefit from something","享有; 擁有","",""
"22","collect","v.","To bring or gather things together","收集; 採集","To go and get someone or something","接走; 領取","",""
"22","hobby","n.","An activity done regularly in free time for pleasure","嗜好","A specific interest or pastime","興趣","",""
"23","people","n.","Human beings in general or considered collectively","人們","The members of a particular nation or ethnic group","民族; 種族","",""
"23","person","n.","A human being regarded as an individual","人","One's physical body or presence","身體; 本人","",""
"23","together","adv.","With or in proximity to another person or people","一起; 共同","Combined or united in a relationship/total","總共; 合起來","",""
"23","actually","adv.","In fact or really; truth of a situation","實際上","Used to express surprise or correction","其實; 竟然","",""
"24","arrive","v.","To reach a place at the end of a journey","到達; 抵達","To happen or come (time or event)","來臨; 發生","",""
"24","message","n.","Verbal, written, or recorded communication","信息; 訊息","The main idea or lesson of a work","寓意; 中心思想","",""
"24","push","v./n.","To move something away by exerting force","推","To encourage or pressure someone to do something","逼迫; 催促","",""
"24","of course","phr.","Used to express agreement or permission","當然","Naturally; clearly; as expected","自然; 顯然","",""
"25","curious","adj.","Eager to know or learn something","好奇的","Strange; unusual","稀奇的; 古怪的","",""
"25","opposite","adj./n.","Situated on the other or further side","相反的; 對面的","A person or thing that is totally different","對立面","",""
"25","storm","n./v.","Violent weather with strong winds and rain/snow","暴風雨","To move or shout angrily","怒吼; 衝","",""
"25","center","n./v.","The middle point of a circle or area","中心; 中央","A place or organization for a particular activity","中心; 機構","",""
"26","calm","adj./v.","Not showing or feeling nervousness or anger","冷靜的; 鎮定的","Without wind or strong movement (sea/weather)","平靜的; 無風浪的","",""
"26","speed","n./v.","The rate at which someone or something moves","速度","To move quickly","加速; 疾行","",""
"26","emergency","n.","A serious, unexpected situation requiring immediate action","緊急情況","Used for or arising in emergencies (adj.)","應急的; 急救的","",""
"26","watch out","phr.","To be careful or vigilant","當心; 注意","To warn someone of danger","提防; 小心","",""
"27","plan","n./v.","A detailed proposal for doing or achieving something","計畫; 方案","To decide on and arrange in advance","打算; 規劃","",""
"27","spot","n./v.","A small round mark or stain","斑點","A particular place or point","地點; 場所","To see, notice, or recognize someone","發現; 認出"
"27","take care","phr.","Used when saying goodbye to someone","保重","To be careful or cautious","小心; 注意","",""
"27","defend","v.","To protect from harm or attack","防禦; 保衛","To speak in support of an argument or person","辯護","",""
"28","hide","v.","To put or keep out of sight","隱藏; 躲藏","To keep something a secret","隱瞞","",""
"28","survive","v.","To continue to live or exist","生存; 活下來","To live through a dangerous event or accident","倖存; 挺過","",""
"28","increase","v./n.","To make or become greater in size or amount","增加; 增長","A rise in amount, size, or degree","漲幅; 增益","",""
"28","reduce","v.","To make smaller or less in amount or size","減少; 降低","To lower the price of something","降價","",""
"29","lead","v./n.","To show the way to others","帶領; 引導","To be in charge or command of a group","領導; 率領","A heavy grey metal (noun)","鉛"
"29","take part in","phr.","To join in an activity","參加; 參與","To be involved in a situation","涉足","",""
"29","environment","n.","The natural world","環境; 自然環境","The setting or conditions in which an activity occurs","周遭環境","",""
"29","positive","adj.","Certain and without any doubt","確實的; 肯定的","Constructive, optimistic, or confident","正面的; 積極的","Showing the presence of a condition/disease","陽性的"
"30","communicate","v.","To share or exchange information","溝通","To pass on (a disease) to others","傳染; 傳達","",""
"30","search","v./n.","To look thoroughly for something","搜尋; 搜查","To use a computer to find data","檢索","",""
"30","receive","v.","To be given or presented with something","收到; 接獲","To greet or welcome guests","接待","",""
"30","technology","n.","The application of scientific knowledge","技術; 科技","Machinery and equipment developed from knowledge","工業技術","",""
